model,roc_auc,pr_auc,f1,accuracy,business_cost
logistic_regression,0.8424139089100725,0.6353573205211803,0.6008708272859217,0.8048261178140526,17780.0
gradient_boosting,0.8417628975173732,0.6565857494408323,0.5783132530120482,0.801277501774308,19180.0
mlp,0.8397995298251052,0.6312274371872902,0.5968882602545968,0.7977288857345636,17520.0
random_forest,0.8226239375855744,0.6132508027685258,0.5584795321637427,0.7856635911994322,19490.0
dummy,0.5,0.2654364797728886,0.0,0.7345635202271115,37400.0
